code,name,date,mkt_rp,rf,mkt_pf,size_rp,bm_rp,div_rp,pe_rp
Y9999,上市,2017-09,-1.8267,1.045,-1.7396,2.843,-0.1584,0.5278,-3.3173
Y9999,上市,2017-08,2.3728,1.045,2.4599,-0.0583,2.1157,-3.6555,-3.5257
Y9999,上市,2017-07,2.2228,1.045,2.3099,-0.6372,-0.8727,-1.0833,-2.0963
Y9999,上市,2017-06,4.368,1.045,4.4551,-2.567,-0.3036,1.1329,2.0845
Y9999,上市,2017-05,1.6358,1.045,1.7229,-1.1702,-2.9393,2.332,1.0084
Y9999,上市,2017-04,0.546,1.045,0.6331,-0.206,-2.694,0.5398,1.7292
Y9999,上市,2017-03,0.567,1.045,0.6541,1.4108,0.4981,1.5452,1.8114
Y9999,上市,2017-02,3.1207,1.045,3.2078,2.1851,5.3965,0.5524,0.6332
Y9999,上市,2017-01,2.0451,1.045,2.1322,-0.0605,3.7785,-1.124,1.1703
Y9999,上市,2016-12,0.0529,1.045,0.14,1.209,-0.3221,0.8919,0.2465
Y9999,上市,2016-11,-0.6111,1.045,-0.524,0.6044,3.2313,-0.9104,0.1398
Y9999,上市,2016-10,1.2801,1.045,1.3672,-3.7851,0.2352,0.945,-0.2061
Y9999,上市,2016-09,1.3863,1.045,1.4734,0.1261,-0.3039,-0.2737,0.4324
Y9999,上市,2016-08,1.7853,1.045,1.8724,1.0746,0.0864,-0.2881,1.8185
Y9999,上市,2016-07,5.3448,1.045,5.4319,-1.2055,1.1703,0.7717,1.4564
Y9999,上市,2016-06,2.5538,1.125,2.6475,-1.4533,0.3275,1.2325,1.538
Y9999,上市,2016-05,1.7221,1.125,1.8159,-0.0119,-3.3378,1.0086,0.7508
Y9999,上市,2016-04,-4.289,1.125,-4.1952,1.0937,0.0936,-0.0905,0.8973
Y9999,上市,2016-03,3.9257,1.125,4.0194,-1.5957,-0.1686,-1.186,1.0127
Y9999,上市,2016-02,3.1232,1.205,3.2236,1.2644,0.0385,1.4447,0.2169
Y9999,上市,2016-01,-2.3943,1.205,-2.2939,-0.064,-1.4308,1.2223,-3.2096
Y9999,上市,2015-12,0.2079,1.275,0.3141,-0.2716,3.0113,1.4875,-0.8924
Y9999,上市,2015-11,-2.9114,1.275,-2.8051,1.841,-3.3997,-0.2088,0.3692
Y9999,上市,2015-10,4.4822,1.275,4.5884,2.9999,0.085,3.5347,3.2581
Y9999,上市,2015-09,0.302,1.355,0.4149,6.24,-0.242,-0.3585,-2.1378
Y9999,上市,2015-08,-4.8548,1.355,-4.7419,-1.8953,0.6466,0.8461,0.3925
Y9999,上市,2015-07,-5.5342,1.355,-5.4213,-1.52,-1.8734,-2.3466,-1.6751
Y9999,上市,2015-06,-3.2993,1.355,-3.1864,-1.6252,-4.2565,-1.7995,-2.2302
Y9999,上市,2015-05,-1.3231,1.355,-1.2102,-3.3316,-0.7466,0.2195,2.7242
Y9999,上市,2015-04,2.2487,1.355,2.3616,-0.1999,0.4224,-1.4826,1.321
Y9999,上市,2015-03,-0.5126,1.355,-0.3997,2.2394,-0.5641,2.0384,2.8906
Y9999,上市,2015-02,2.6785,1.355,2.7914,-1.5047,-1.2559,-0.3273,0.536
Y9999,上市,2015-01,0.457,1.355,0.5699,-0.017,1.9412,0.7329,0.974
Y9999,上市,2014-12,1.1907,1.355,1.3036,3.2838,2.7146,1.9323,-1.7807
Y9999,上市,2014-11,2.22,1.355,2.3329,-1.7177,-1.1393,-2.2233,-1.4676
Y9999,上市,2014-10,0.0176,1.355,0.1305,-5.9804,0.1947,-0.1494,1.6517
Y9999,上市,2014-09,-5.16,1.355,-5.0471,2.8533,-1.1143,-0.5938,-0.1665
Y9999,上市,2014-08,2.0602,1.355,2.1731,-2.5314,0.8218,0.0491,2.5342
Y9999,上市,2014-07,0.7827,1.355,0.8956,-0.9707,3.9787,0.3774,2.7671
Y9999,上市,2014-06,3.6747,1.355,3.7876,-0.2401,-0.925,-4.4968,-3.0365
Y9999,上市,2014-05,3.4273,1.355,3.5402,-0.0049,0.1498,-1.0628,1.9877
Y9999,上市,2014-04,-0.52,1.355,-0.4071,-2.5123,-2.6265,0.8409,1.3518
Y9999,上市,2014-03,2.1735,1.355,2.2864,0.9412,-1.761,2.6925,1.5712
Y9999,上市,2014-02,1.912,1.355,2.0249,5.9169,-1.5823,1.2773,-0.0224
Y9999,上市,2014-01,-1.663,1.355,-1.5501,2.5682,0.0089,1.8677,2.8792
Y9999,上市,2013-12,2.3673,1.355,2.4802,2.7578,0.6384,-0.0309,0.804
Y9999,上市,2013-11,-0.557,1.355,-0.4441,0.292,-0.5486,0.1199,0.9512
Y9999,上市,2013-10,3.2665,1.355,3.3794,0.2468,0.9567,-1.559,-1.6987
Y9999,上市,2013-09,2.0913,1.355,2.2042,0.9117,1.4586,-1.9175,1.6133
Y9999,上市,2013-08,-0.396,1.355,-0.2831,1.8613,-0.7377,-0.837,0.1399
Y9999,上市,2013-07,1.9645,1.355,2.0774,3.3959,-0.1941,0.1438,-1.5395
Y9999,上市,2013-06,-2.2678,1.355,-2.1549,-1.1997,-2.6515,2.2833,-0.9146
Y9999,上市,2013-05,1.8707,1.355,1.9836,3.677,4.1947,-0.8259,-1.4271
Y9999,上市,2013-04,2.4579,1.355,2.5708,-1.7231,-0.5231,1.5669,0.0769
Y9999,上市,2013-03,0.3192,1.355,0.4321,1.3532,-0.3408,0.0344,-0.4927
Y9999,上市,2013-02,0.5708,1.355,0.6837,0.5573,1.2268,-1.0875,-1.0827
Y9999,上市,2013-01,1.896,1.355,2.0089,-0.4775,-0.4377,2.5108,2.6277
Y9999,上市,2012-12,1.6427,1.355,1.7556,2.6212,3.6064,0.4654,-0.2245
Y9999,上市,2012-11,5.6227,1.355,5.7356,-2.0334,1.3088,-0.7457,0.1383
Y9999,上市,2012-10,-7.2415,1.355,-7.1286,-3.7277,-2.666,1.0859,-0.2748
Y9999,上市,2012-09,4.2214,1.355,4.3343,0.6518,3.2744,-3.7057,-1.317
Y9999,上市,2012-08,2.6484,1.355,2.7613,2.9491,-0.5331,-0.5132,-1.7297
Y9999,上市,2012-07,1.9869,1.355,2.0998,-0.9822,-5.1925,-2.5581,-0.6816
Y9999,上市,2012-06,-0.0898,1.355,0.0231,-0.2045,-0.3416,0.9075,-0.3544
Y9999,上市,2012-05,-2.7956,1.355,-2.6827,0.4424,-0.8977,-0.6839,-0.1278
Y9999,上市,2012-04,-5.6326,1.355,-5.5197,-0.583,-1.3584,4.8668,0.7748
Y9999,上市,2012-03,-2.5637,1.355,-2.4508,1.1007,-4.081,2.2032,5.652
Y9999,上市,2012-02,7.9464,1.355,8.0593,4.71,3.1698,-1.3415,-0.2737
Y9999,上市,2012-01,6.1665,1.355,6.2794,-0.363,1.2873,-2.831,2.3636
Y9999,上市,2011-12,2.36,1.355,2.4729,0.1387,-1.2241,-0.1097,0.2942
Y9999,上市,2011-11,-8.8271,1.355,-8.7142,-2.9755,-0.0186,4.2763,4.418
Y9999,上市,2011-10,4.8812,1.355,4.9941,-0.1301,-2.5253,-2.984,-0.8728
Y9999,上市,2011-09,-6.745,1.355,-6.6321,-1.0393,0.4188,3.9708,4.1762
Y9999,上市,2011-08,-9.7438,1.355,-9.6309,-0.7977,-0.0278,2.8096,3.2254
Y9999,上市,2011-07,2.179,1.355,2.2919,-2.4197,-4.2039,-0.7137,-4.4789
Y9999,上市,2011-06,-3.3618,1.28,-3.2551,0.1717,-1.9505,2.4509,2.0008
Y9999,上市,2011-05,-0.3656,1.28,-0.2589,-0.3038,-1.4595,1.0559,2.8138
Y9999,上市,2011-04,3.6117,1.28,3.7184,-0.5813,-1.5452,1.7826,2.223
Y9999,上市,2011-03,0.9775,1.19,1.0767,-0.9093,-0.5658,1.4868,1.0667
Y9999,上市,2011-02,-6.181,1.19,-6.0818,2.2375,-3.0081,4.2755,0.7229
Y9999,上市,2011-01,1.7462,1.19,1.8454,-2.0844,0.9791,0.0718,-0.5193
Y9999,上市,2010-12,7.2236,1.13,7.3178,-2.1741,6.8548,-1.2783,-1.4939
Y9999,上市,2010-11,0.8964,1.13,0.9906,-2.9363,-1.7826,1.6848,1.3985
Y9999,上市,2010-10,0.5143,1.13,0.6085,-2.5391,2.9724,3.1985,0.0876
Y9999,上市,2010-09,8.188,1.025,8.2734,-0.7879,1.0018,0.6113,-2.4974
Y9999,上市,2010-08,-0.9622,1.025,-0.8768,-1.9615,1.3004,0.0049,2.442
Y9999,上市,2010-07,8.3205,1.025,8.4059,0.2669,2.632,-1.6322,3.7195
Y9999,上市,2010-06,-0.6216,1.025,-0.5362,0.7886,2.1841,1.5362,-0.4836
Y9999,上市,2010-05,-7.9117,0.9,-7.8367,-1.5249,-1.4891,4.76,-2.1287
Y9999,上市,2010-04,1.0117,0.9,1.0867,1.7678,2.7812,0.7471,3.3365
Y9999,上市,2010-03,6.3191,0.9,6.3941,5.2408,2.5393,-1.9272,-1.2177
Y9999,上市,2010-02,-2.9156,0.9,-2.8406,2.7499,-1.5009,-0.3487,1.3093
Y9999,上市,2010-01,-6.4342,0.9,-6.3592,-2.0508,1.2171,1.4428,3.1599
Y9999,上市,2009-12,7.9005,0.9,7.9755,6.1531,3.9332,1.5516,3.0474
Y9999,上市,2009-11,3.189,0.9,3.264,5.3928,0.683,-1.1992,2.0026
Y9999,上市,2009-10,-2.1676,0.9,-2.0926,3.9868,4.821,-1.7402,2.1225
Y9999,上市,2009-09,9.8894,0.77,9.9536,1.2468,1.4909,-1.3979,-3.3222
Y9999,上市,2009-08,-2.7816,0.77,-2.7174,0.0605,-3.3425,1.1362,3.9384
Y9999,上市,2009-07,11.7616,0.77,11.8258,5.8515,-0.0112,-0.2845,4.7926
Y9999,上市,2009-06,-6.5431,0.77,-6.4789,0.2406,-1.7661,2.8337,-0.6994
Y9999,上市,2009-05,14.7136,0.77,14.7778,-0.4908,-0.7367,-13.9836,-12.4835
Y9999,上市,2009-04,14.4375,0.77,14.5017,-0.0277,0.8231,-1.0996,0.2966
Y9999,上市,2009-03,13.1046,0.77,13.1688,5.0838,8.1696,-2.9117,-0.0413
Y9999,上市,2009-02,7.102,0.77,7.1662,0.0938,-1.8533,-1.7103,2.8266
Y9999,上市,2009-01,-7.6131,0.92,-7.5364,3.0191,-0.3386,1.5596,2.2843
Y9999,上市,2008-12,2.838,1.42,2.9563,-1.0541,2.327,-6.5915,-5.7081
Y9999,上市,2008-11,-8.5513,2.17,-8.3705,-1.3993,3.256,-1.8603,-9.6231
Y9999,上市,2008-10,-14.7143,2.555,-14.5014,6.986,-0.7206,7.7384,2.7797
Y9999,上市,2008-09,-18.9231,2.71,-18.6973,-5.2663,-2.9455,5.4356,5.3651
Y9999,上市,2008-08,1.0669,2.71,1.2927,-0.8772,-1.4314,-1.1235,3.9855
Y9999,上市,2008-07,-4.409,2.71,-4.1832,1.8576,-5.2694,1.2137,-0.3505
Y9999,上市,2008-06,-12.4163,2.65,-12.1955,-5.9906,-3.3003,7.2888,4.1059
Y9999,上市,2008-05,-3.5575,2.65,-3.3367,0.9073,-0.2958,3.2045,2.4443
Y9999,上市,2008-04,3.6703,2.65,3.8911,1.3053,-0.9903,-1.5723,-0.0457
Y9999,上市,2008-03,1.8532,2.61,2.0707,3.3221,3.9223,4.2605,1.9805
Y9999,上市,2008-02,11.4426,2.61,11.6601,4.613,4.0143,-2.0297,-5.4273
Y9999,上市,2008-01,-11.1777,2.61,-10.9602,-2.1694,9.4285,2.8197,3.0139
Y9999,上市,2007-12,-1.469,2.61,-1.2515,-1.8336,-0.3642,2.0068,2.515
Y9999,上市,2007-11,-11.801,2.53,-11.5902,-2.3884,-0.2181,4.272,4.0949
Y9999,上市,2007-10,2.1977,2.53,2.4085,-10.0622,1.2622,2.4355,3.5234
Y9999,上市,2007-09,5.2976,2.53,5.5084,-1.3551,2.2829,-1.4863,-3.1639
Y9999,上市,2007-08,-2.9551,2.46,-2.7501,-5.1189,-2.4721,6.5206,4.2215
Y9999,上市,2007-07,5.8849,2.46,6.0899,7.2379,3.6668,1.4925,-4.4875
Y9999,上市,2007-06,9.4329,2.46,9.6379,3.241,0.8148,-1.6854,-1.7429
Y9999,上市,2007-05,3.1549,2.26,3.3432,0.8958,-4.6368,0.5916,-1.4475
Y9999,上市,2007-04,-0.5143,2.26,-0.326,-0.6403,5.728,5.3142,2.568
Y9999,上市,2007-03,-0.2592,2.23,-0.0734,8.3924,-1.8792,0.616,-1.1535
Y9999,上市,2007-02,2.2026,2.23,2.3884,2.5654,-0.9025,0.2079,1.4514
Y9999,上市,2007-01,-1.9368,2.23,-1.751,1.0474,-9.7069,-0.4372,-2.8617
Y9999,上市,2006-12,3.2341,2.2,3.4174,6.1855,7.1638,0.205,-0.0695
Y9999,上市,2006-11,7.5925,2.2,7.7758,5.0603,7.3272,-2.2168,-1.5986
Y9999,上市,2006-10,1.933,2.2,2.1163,7.4552,3.1266,1.6731,0.8446
Y9999,上市,2006-09,4.3117,2.13,4.4892,-1.452,2.8874,-0.5644,-0.4239
Y9999,上市,2006-08,3.3108,2.13,3.4883,-2.1538,-8.1693,-4.0572,-3.4498
Y9999,上市,2006-07,-2.2037,2.13,-2.0262,2.3404,-2.5919,0.9313,1.1001
Y9999,上市,2006-06,-1.5724,2.06,-1.4007,-4.245,-0.8897,2.0684,2.5018
Y9999,上市,2006-05,-4.6313,2.06,-4.4596,4.7305,7.3322,1.9592,-0.6593
Y9999,上市,2006-04,8.3148,2.06,8.4865,3.223,6.4525,-4.7111,-4.0751
Y9999,上市,2006-03,0.8137,1.99,0.9795,2.7484,-3.9963,-0.3114,1.2318
Y9999,上市,2006-02,0.3057,1.99,0.4715,-1.8492,-1.7215,3.0346,2.2718
Y9999,上市,2006-01,-0.5011,1.99,-0.3353,-2.7892,-1.7744,-0.855,-1.4227
Y9999,上市,2005-12,5.4906,1.99,5.6564,4.3243,1.6196,-4.1203,3.163
Y9999,上市,2005-11,7.5715,1.89,7.729,-0.7009,-0.5281,-3.7756,-2.2749
