code,name,date,close,return,volume_shares,volume_dollar,market_value,pb,ps,dividend_yield,f_net,i_net,d_net,t_net,mkt_rp,rf,mkt_pf,size_rp,bm_rp,div_rp,pe_rp
1101,台泥,2021-04,41.35,11.325,1082,56471,315628,1.6,2.64,6.72,-17368.0,14.0,-276.0,-17631.0,7.0657,0.795,7.1319,0.7238,15.203,-2.2267,-4.4388
1101,台泥,2021-03,37.14,11.4286,585,25967,278808,1.43,2.35,7.48,1156.0,341.0,581.0,2078.0,3.0917,0.795,3.158,3.8937,6.5731,2.518,1.5854
1101,台泥,2021-02,33.33,4.6079,264,10973,247617,1.26,2.08,7.14,-11590.0,782.0,509.0,-10299.0,5.3468,0.795,5.4131,3.3283,2.7193,-0.4147,0.4469
1101,台泥,2021-01,31.86,-7.0601,419,17432,235615,1.21,1.99,7.47,-15027.0,217.0,57.0,-14753.0,2.609,0.795,2.6753,-7.7989,-6.0934,1.9336,2.2302
9955,佳龍,2009-10,52.36,2.192,59,3781,5951,3.87,1.45,2.15,-7.0,0.0,-120.0,-127.0,-2.1676,0.9,-2.0926,3.9868,4.821,-1.7402,2.1225
9955,佳龍,2009-09,51.23,16.503,47,2759,5017,3.16,1.28,2.19,-15.0,0.0,-6.0,-21.0,9.8894,0.77,9.9536,1.2468,1.4909,-1.3979,-3.3222
9955,佳龍,2009-08,43.98,-0.6098,15,799,4306,2.71,1.1,2.55,-4.0,0.0,100.0,96.0,-2.7816,0.77,-2.7174,0.0605,-3.3425,1.1362,3.9384
9955,佳龍,2009-07,44.26,11.3469,19,961,4442,2.8,1.13,2.48,22.0,0.0,0.0,22.0,11.7616,0.77,11.8258,5.8515,-0.0112,-0.2845,4.7926
9955,佳龍,2009-06,39.75,-16.1031,21,1115,3989,2.51,1.02,2.76,1.0,0.0,4.0,5.0,-6.5431,0.77,-6.4789,0.2406,-1.7661,2.8337,-0.6994
9955,佳龍,2009-05,47.38,57.8651,40,1906,4755,2.98,1.04,2.31,10.0,3.0,-3.0,10.0,14.7136,0.77,14.7778,-0.4908,-0.7367,-13.9836,-12.4835
9955,佳龍,2009-04,30.01,-1.385,18,662,3012,1.89,0.66,3.65,23.0,0.0,6.0,29.0,14.4375,0.77,14.5017,-0.0277,0.8231,-1.0996,0.2966
9955,佳龍,2009-03,30.44,11.42,24,853,3054,1.91,0.67,3.6,-71.0,0.0,1.0,-70.0,13.1046,0.77,13.1688,5.0838,8.1696,-2.9117,-0.0413
9955,佳龍,2009-02,27.32,17.6042,14,461,2773,1.74,0.61,6.17,17.0,0.0,0.0,17.0,7.102,0.77,7.1662,0.0938,-1.8533,-1.7103,2.8266
9955,佳龍,2009-01,23.23,-9.3751,4,131,2358,1.48,0.51,7.26,-21.0,0.0,-1.0,-22.0,-7.6131,0.92,-7.5364,3.0191,-0.3386,1.5596,2.2843
9955,佳龍,2008-12,25.63,-1.2988,10,321,2602,1.63,0.57,6.58,2.0,0.0,1.0,3.0,2.838,1.42,2.9563,-1.0541,2.327,-6.5915,-5.7081
9955,佳龍,2008-11,25.97,-12.0,8,250,2636,1.73,0.62,6.49,2.0,0.0,-4.0,-2.0,-8.5513,2.17,-8.3705,-1.3993,3.256,-1.8603,-9.6231
9955,佳龍,2008-10,29.51,-9.561,9,352,2995,1.96,0.7,5.71,13.0,0.0,1.0,14.0,-14.7143,2.555,-14.5014,6.986,-0.7206,7.7384,2.7797
9955,佳龍,2008-09,32.63,-27.2556,11,453,3312,2.03,0.81,5.17,-95.0,0.0,-2.0,-97.0,-18.9231,2.71,-18.6973,-5.2663,-2.9455,5.4356,5.3651
9955,佳龍,2008-08,44.85,1.3445,10,542,4553,2.79,1.11,3.76,2.0,0.0,2.0,4.0,1.0669,2.71,1.2927,-0.8772,-1.4314,-1.1235,3.9855
9955,佳龍,2008-07,44.12,-8.6178,13,762,4614,2.83,1.13,3.56,-147.0,0.0,2.0,-145.0,-4.409,2.71,-4.1832,1.8576,-5.2694,1.2137,-0.3505
9955,佳龍,2008-06,48.29,-19.079,15,1039,5049,3.1,1.23,3.25,-9.0,0.0,-8.0,-17.0,-12.4163,2.65,-12.1955,-5.9906,-3.3003,7.2888,4.1059
9955,佳龍,2008-05,59.67,-1.1702,30,2517,6239,4.22,1.97,2.63,-54.0,-90.0,-14.0,-158.0,-3.5575,2.65,-3.3367,0.9073,-0.2958,3.2045,2.4443
9955,佳龍,2008-04,60.38,0.5228,22,1744,6313,4.27,1.99,2.6,67.0,0.0,1.0,68.0,3.6703,2.65,3.8911,1.3053,-0.9903,-1.5723,-0.0457
9955,佳龍,2008-03,60.06,-6.135,34,2776,6280,4.24,1.98,0.0,2.0,15.0,-5.0,12.0,1.8532,2.61,2.0707,3.3221,3.9223,4.2605,1.9805
9955,佳龍,2008-02,63.99,36.7451,25,1925,6691,4.52,2.11,0.0,15.0,0.0,9.0,24.0,11.4426,2.61,11.6601,4.613,4.0143,-2.0297,-5.4273
9955,佳龍,2008-01,46.79,-11.5727,20,1317,4893,3.31,1.55,0.0,0.0,0.0,0.0,0.0,-11.1777,2.61,-10.9602,-2.1694,9.4285,2.8197,3.0139
9955,佳龍,2007-12,52.92,-10.253,16,1014,5533,3.74,1.75,2.23,123.0,0.0,10.0,133.0,-1.469,2.61,-1.2515,-1.8336,-0.3642,2.0068,2.515
9955,佳龍,2007-11,58.96,-13.2792,26,2055,6165,4.41,2.14,2.0,85.0,-10.0,18.0,93.0,-11.801,2.53,-11.5902,-2.3884,-0.2181,4.272,4.0949
9955,佳龍,2007-10,67.99,-27.2269,34,3629,7109,5.09,2.47,1.73,0.0,-60.0,-221.0,-281.0,2.1977,2.53,2.4085,-10.0622,1.2622,2.4355,3.5234
9955,佳龍,2007-09,93.43,8.1819,39,4300,9769,6.97,3.72,1.26,0.0,-72.0,-177.0,-249.0,5.2976,2.53,5.5084,-1.3551,2.2829,-1.4863,-3.1639
9955,佳龍,2007-08,86.36,8.5406,90,10585,9006,6.42,3.43,1.37,0.0,-30.0,-71.0,-101.0,-2.9551,2.46,-2.7501,-5.1189,-2.4721,6.5206,4.2215
9955,佳龍,2007-07,79.3,64.4244,59,5224,8274,5.92,3.16,1.37,0.0,-20.0,15.0,-5.0,5.8849,2.46,6.0899,7.2379,3.6668,1.4925,-4.4875
9955,佳龍,2007-06,48.23,-0.2982,15,1030,5032,3.6,1.92,2.26,-103.0,0.0,-42.0,-145.0,9.4329,2.46,9.6379,3.241,0.8148,-1.6854,-1.7429
